Codigo Regiao do Pais;Regiao do Pais;Codigo UF;UF;Codigo Macrorregiao de Saude;Macrorregiao de Saude;Codigo Regiao de Saude;Regiao de Saude;CD_MN_RESI;Municipio;Populacao Estimada IBGE 2022;Regiao de Saude
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;430230;Bom Jesus;11.202;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;431862;Sao Jose dos Ausentes;4.172;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;431112;Jaquirana;3.690;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;430367;Campestre da Serra;3.242;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;430740;Esmeralda;3.195;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;431237;Monte Alegre dos Campos;3.180;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;431261;Muitos Capoes;2.879;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43024;REGIAO 24;431446;Pinhal da Serra;2.248;REGIAO 24
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;430210;Bento Goncalves;123.151;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;430860;Garibaldi;34.335;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;430480;Carlos Barbosa;30.420;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;431330;Nova Prata;25.692;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;430940;Guapore;25.268;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;432280;Veranopolis;24.021;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;431290;Nova Bassano;9.649;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;431400;Parai;7.194;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;431280;Nova Araca;4.954;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;430595;Cotipora;3.846;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;432330;Vila Flores;3.646;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;431844;Sao Jorge;2.912;REGIAO 25
4;Sul;43;Rio Grande do Sul;4310;SERRA;43025;REGIAO 25;430225;Boa Vista do Sul;2.779;REGIAO 25
